ID		name		RA		Declination	Gal_l	Gal_b	R_sun	R_gc	X	Y	Z
NGC6380		Ton1		17 34 28.0	-39 04 09	350.18	-3.42	10.9	3.3	10.7	-1.9	-0.6
NGC6388		none		17 36 17.23	-44 44 07.8	345.56	-6.74	9.9	3.1	9.6	-2.5	-1.2
NGC6397		none		17 40 42.09	-53 40 27.6	338.17	-11.96	2.3	6	2.1	-0.8	-0.5
NGC6401		none		17 38 36.60	-23 54 34.2	3.45	3.98	10.6	2.7	10.5	0.6	0.7
NGC6402		M14		17 37 36.10	-03 14 45.3	21.32	14.81	9.3	4	8.3	3.3	2.4
NGC6426		none		17 44 54.65	+03 10 12.5	28.09	16.23	20.6	14.4	17.4	9.3	5.8
NGC6440		none		17 48 52.70	-20 21 36.9	7.73	3.8	8.5	1.3	8.4	1.1	0.6
NGC6441		none		17 50 13.06	-37 03 05.2	353.53	-5.01	11.6	3.9	11.5	-1.3	-1
NGC6453		none		17 50 51.70	-34 35 57.0	355.72	-3.87	11.6	3.7	11.5	-0.9	-0.8
NGC6496		none		17 59 03.68	-44 15 57.4	348.03	-10.01	11.3	4.2	10.9	-2.3	-2
NGC6517		C1759-089	18 01 50.52	-08 57 31.6	19.23	6.76	10.6	4.2	10	3.5	1.3
NGC6522		none		18 03 34.02	-30 02 02.3	1.02	-3.93	7.7	0.6	7.7	0.1	-0.5
NGC6528		none		18 04 49.64	-30 03 22.6	1.14	-4.17	7.9	0.6	7.9	0.2	-0.6
NGC6535		none		18 03 50.51	-00 17 51.5	27.18	10.44	6.8	3.9	6	3.1	1.2
NGC6539		none		18 04 49.68	-07 35 09.1	20.8	6.78	7.8	3	7.2	2.8	0.9
NGC6540		Djorg3		18 06 08.6	-27 45 55	3.29	-3.31	5.3	2.8	5.2	0.3	-0.3
NGC6541		none		18 08 02.36	-43 42 53.6	349.29	-11.19	7.5	2.1	7.3	-1.4	-1.5
NGC6544		none		18 07 20.58	-24 59 50.4	5.84	-2.2	3	5.1	2.9	0.3	-0.1
NGC6553		none		18 09 17.60	-25 54 31.3	5.26	-3.03	6	2.2	5.9	0.5	-0.3
NGC6558		none		18 10 17.60	-31 45 50.0	0.2	-6.02	7.4	1	7.3	0	-0.8
NGC6569		none		18 13 38.80	-31 49 36.8	0.48	-6.68	10.9	3.1	10.8	0.1	-1.3
NGC6584		none		18 18 37.60	-52 12 56.8	342.14	-16.41	13.5	7	12.3	-4	-3.8
NGC6624		none		18 23 40.51	-30 21 39.7	2.79	-7.91	7.9	1.2	7.8	0.4	-1.1
NGC6626		M28		18 24 32.81	-24 52 11.2	7.8	-5.58	5.5	2.7	5.4	0.7	-0.5
NGC6637		M69		18 31 23.10	-32 20 53.1	1.72	-10.27	8.8	1.7	8.6	0.3	-1.6
NGC6638		none		18 30 56.10	-25 29 50.9	7.9	-7.15	9.4	2.2	9.3	1.3	-1.2
NGC6642		none		18 31 54.10	-23 28 30.7	9.81	-6.44	8.1	1.7	8	1.4	-0.9
NGC6652		none		18 35 45.63	-32 59 26.6	1.53	-11.38	10	2.7	9.8	0.3	-2
NGC6656		M22		18 36 23.94	-23 54 17.1	9.89	-7.55	3.2	4.9	3.2	0.6	-0.4
NGC6681		M70		18 43 12.76	-32 17 31.6	2.85	-12.51	9	2.2	8.8	0.4	-2
NGC6712		none		18 53 04.30	-08 42 22.0	25.35	-4.32	6.9	3.5	6.3	3	-0.5
NGC6715		M54		18 55 03.33	-30 28 47.5	5.61	-14.09	26.5	18.9	25.6	2.5	-6.5
NGC6717		Pal9		18 55 06.04	-22 42 05.3	12.88	-10.9	7.1	2.4	6.8	1.6	-1.3
NGC6723		none		18 59 33.15	-36 37 56.1	0.07	-17.3	8.7	2.6	8.3	0	-2.6
NGC6749		Be42		19 05 15.3	+01 54 03	36.2	-2.21	7.9	5	6.4	4.7	-0.3
NGC6752		none		19 10 52.11	-59 59 04.4	336.49	-25.63	4	5.2	3.3	-1.4	-1.7
NGC6760		none		19 11 12.01	+01 01 49.7	36.11	-3.92	7.4	4.8	5.9	4.3	-0.5
NGC6779		M56		19 16 35.57	+30 11 00.5	62.66	8.34	9.4	9.2	4.3	8.3	1.4
NGC6809		M55		19 39 59.71	-30 57 53.1	8.79	-23.27	5.4	3.9	4.9	0.8	-2.1
NGC6838		M71		19 53 46.49	+18 46 45.1	56.75	-4.56	4	6.7	2.2	3.4	-0.3
NGC6864		M75		20 06 04.69	-21 55 16.2	20.3	-25.75	20.9	14.7	17.6	6.5	-9.1
NGC6934		none		20 34 11.37	+07 24 16.1	52.1	-18.89	15.6	12.8	9.1	11.7	-5.1
NGC6981		M72		20 53 27.70	-12 32 14.3	35.16	-32.68	17	12.9	11.7	8.3	-9.2
NGC7006		none		21 01 29.38	+16 11 14.4	63.77	-19.41	41.2	38.5	17.2	34.8	-13.7
NGC7078		M15		21 29 58.33	+12 10 01.2	65.01	-27.31	10.4	10.4	3.9	8.3	-4.8
NGC7089		M2		21 33 27.02	-00 49 23.7	53.37	-35.77	11.5	10.4	5.6	7.5	-6.7
NGC7099		M30		21 40 22.12	-23 10 47.5	27.18	-46.84	8.1	7.1	4.9	2.5	-5.9
NGC7492		none		23 08 26.63	-15 36 41.4	53.39	-63.48	26.3	25.3	7	9.4	-23.5
Pal1		none		03 33 20.04	+79 34 51.8	130.06	19.03	11.1	17.2	-6.8	8.1	3.6
Pal10		none		19 18 02.1	+18 34 18	52.43	2.72	5.9	6.4	3.6	4.7	0.3
Pal11		none		19 45 14.4	-08 00 26	31.81	-15.57	13.4	8.2	11	6.8	-3.6
Pal12		none		21 46 38.84	-21 15 09.4	30.51	-47.68	19	15.8	11	6.5	-14.1
Pal13		none		23 06 44.44	+12 46 19.2	87.1	-42.7	26	26.9	1	19.1	-17.6
Pal14		AvdB		16 11 00.6	+14 57 28	28.74	42.19	76.5	71.6	49.7	27.3	51.4
Pal15		none		16 59 51.0	-00 32 20	18.88	24.3	45.1	38.4	38.9	13.3	18.6
Pal2		none		04 46 05.91	+31 22 53.4	170.53	-9.07	27.2	35	-26.4	4.4	-4.3
Pal3		none		10 05 31.9	+00 04 18	240.15	41.86	92.5	95.7	-34.3	-59.7	61.7
Pal4		none	   	11 29 16.80	+28 58 24.9	202.31	71.8	108.7	111.2	-31.4	-12.9	103.2
Pal5		none		15 16 05.25	-00 06 41.8	0.85	45.86	23.2	18.6	16.2	0.2	16.7
Pal6		none		17 43 42.2	-26 13 21	2.1	1.78	5.8	2.2	5.8	0.2	0.2
Pal8		none		18 41 29.9	-19 49 33	14.11	-6.79	12.8	5.5	12.3	3.1	-1.5
Pyxis		none		09 07 57.8	-37 13 17	261.32	7	39.4	41.4	-5.9	-38.7	4.8
Rup106		none		12 38 40.2	-51 09 01	300.88	11.67	21.2	18.5	10.7	-17.8	4.3
Terzan1		HP2		17 35 47.8	-30 28 11	357.57	1	6.7	1.3	6.7	-0.3	0.1
Terzan10	none		18 03 36.4	-26 04 21	4.49	-1.99	5.8	2.3	5.8	0.5	-0.2
Terzan12	none		18 12 15.8	-22 44 31	8.37	-2.1	4.8	3.4	4.7	0.7	-0.2
Terzan2		HP3		17 27 33.10	-30 48 08.4	356.32	2.3	7.5	0.8	7.5	-0.5	0.3
Terzan3		none		16 28 40.08	-35 21 12.5	345.08	9.19	8.2	2.5	7.8	-2.1	1.3
Terzan4		HP4		17 30 39.00	-31 35 43.9	356.02	1.31	7.2	1	7.2	-0.5	0.2
Terzan5		Terzan11	17 48 04.80	-24 46 45	3.84	1.69	6.9	1.2	6.9	0.5	0.2
Terzan6		HP5		17 50 46.38	-31 16 31.4	358.57	-2.16	6.8	1.3	6.8	-0.2	-0.3
Terzan7		none		19 17 43.92	-34 39 27.8	3.39	-20.07	22.8	15.6	21.4	1.3	-7.8
Terzan8		none		19 41 44.41	-33 59 58.1	5.76	-24.56	26.3	19.4	23.8	2.4	-10.9
Terzan9		none		18 01 38.8	-26 50 23	3.61	-1.99	7.1	1.1	7.1	0.4	-0.2
Ton2		Pismis26	17 36 10.5	-38 33 12	350.8	-3.42	8.2	1.4	8.1	-1.3	-0.5
UKS1		none		17 54 27.2	-24 08 43	5.13	0.76	7.8	0.7	7.8	0.7	0.1
Whiting1	none		02 02 57	-03 15 10	161.22	-60.76	30.1	34.5	-13.9	4.7	-26.3
